bean type;broad bean origin;year;cacao percentage;company location;company;Number of Records;reference;rating;review year;specific bean origin
Forastero (Arriba);Ecuador;1-1-2009 00:00:00;1;Ecuador;Bouga Cacao (Tulicorp);1;316;3,25;2009;El Oro, Hacienda de Oro
Forastero (Arriba);Ecuador;1-1-2009 00:00:00;1;Ecuador;Bouga Cacao (Tulicorp);1;341;1,5;2009;El Oro, Hacienda de Oro
Trinitario;Belize;1-1-2014 00:00:00;1;U.S.A.;Bowler Man;1;1267;2,75;2014;Maya Mountain
;Dominican Republic;1-1-2014 00:00:00;1;U.S.A.;Bowler Man;1;1271;2,75;2014;Conacado
Criollo;Venezuela;1-1-2016 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1868;3,5;2016;Guasare, Zulia Prov.
;Nicaragua;1-1-2016 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1868;3,75;2016;O'payo, Waslala
;Dominican Republic;1-1-2015 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1462;3,75;2015;Conacado
Trinitario;Belize;1-1-2014 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1255;3,75;2014;Maya Mountain
Trinitario;Venezuela;1-1-2014 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1355;4;2014;Chuao
Trinitario;Dominican Republic;1-1-2013 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1125;3;2013;Cooproagro
;Ecuador;1-1-2013 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1125;3,25;2013;Camino Verde, Guayas
Forastero;Ghana;1-1-2013 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1129;3,5;2013;Ghana
Trinitario;Venezuela;1-1-2013 00:00:00;1;U.S.A.;Brasstown aka It's Chocolate;1;1129;3,5;2013;Chuao, Mantuano blend
;Dominican Republic;1-1-2015 00:00:00;1;U.S.A.;Brazen;1;1514;3;2015;Elvesia P.
;Dominican Republic;1-1-2015 00:00:00;1;U.S.A.;Brazen;1;1514;3,25;2015;Elvesia P.
;Guatemala;1-1-2015 00:00:00;1;U.S.A.;Brazen;1;1514;3,5;2015;Alta Verapaz, 2014
;Madagascar;1-1-2015 00:00:00;1;U.S.A.;Brazen;1;1518;2,75;2015;Ambolikapiky P.
Trinitario;Belize;1-1-2015 00:00:00;1;U.S.A.;Brazen;1;1518;3,25;2015;Maya Mountain
;Madagascar;1-1-2015 00:00:00;1;U.S.A.;Brazen;1;1518;3,25;2015;Ambolikapkly P.
Trinitario;Jamaica;1-1-2013 00:00:00;1;U.S.A.;Breeze Mill;1;1149;3;2013;Jamaica
Trinitario;Madagascar;1-1-2014 00:00:00;1;Australia;Bright;1;1231;3;2014;Somia Plantation
;Dominican Republic;1-1-2014 00:00:00;1;Australia;Bright;1;1231;3,5;2014;Marabel Farms
;Ecuador;1-1-2014 00:00:00;1;Australia;Bright;1;1231;3,5;2014;Camino Verde, Balao, Guayas
Trinitario;Trinidad;1-1-2014 00:00:00;1;Australia;Bright;1;1235;2,75;2014;Gran Couva
;Ecuador;1-1-2015 00:00:00;1;Russia;Britarev;1;1638;3,25;2015;Ecuador
;Dominican Republic;1-1-2013 00:00:00;1;U.S.A.;Bronx Grrl Chocolate;1;1181;2,75;2013;Dominican Republic
Trinitario;Trinidad;1-1-2014 00:00:00;1;U.S.A.;Burnt Fork Bend;1;1299;3,25;2014;Trinidad
;Ecuador;1-1-2014 00:00:00;1;U.S.A.;Burnt Fork Bend;1;1299;3,5;2014;Mindo
Trinitario;Belize;1-1-2014 00:00:00;1;U.S.A.;Burnt Fork Bend;1;1303;3,25;2014;Belize
Blend;;1-1-2014 00:00:00;1;U.S.A.;Burnt Fork Bend;1;1303;3,25;2014;Blend
;Ecuador;1-1-2014 00:00:00;1;U.S.A.;Burnt Fork Bend;1;1323;2,5;2014;Ecuador, Bob Bar
;Puerto Rico;1-1-2015 00:00:00;1;Puerto Rico;Cacao Arabuco;1;1606;2,5;2015;Puerto Rico
Criollo;Peru;1-1-2014 00:00:00;1;U.S.A.;Cacao Atlanta;1;1215;2,5;2014;Tumbes
;Dominican Republic;1-1-2010 00:00:00;1;U.S.A.;Cacao Atlanta;1;502;2,5;2010;"Dominican Republic, ""Love Bar"""
;Dominican Republic;1-1-2010 00:00:00;1;U.S.A.;Cacao Atlanta;1;502;2,75;2010;Dominican Republic w/ nibs
;Venezuela;1-1-2010 00:00:00;1;U.S.A.;Cacao Atlanta;1;600;2,25;2010;Patanemo
Trinitario, Criollo;Haiti;1-1-2016 00:00:00;1;France;Cacao Barry;1;1716;3,5;2016;Grand 'Anse
;Dominican Republic;1-1-2010 00:00:00;1;France;Cacao Barry;1;586;3;2010;Santo Domingo
;Tanzania;1-1-2008 00:00:00;1;France;Cacao Barry;1;300;2;2008;Tanzania
;Venezuela;1-1-2007 00:00:00;1;France;Cacao Barry;1;141;2;2007;Venezuela
;Mexico;1-1-2007 00:00:00;1;France;Cacao Barry;1;147;3;2007;Mexico
Trinitario;Venezuela;1-1-2015 00:00:00;1;Venezuela;Cacao de Origen;1;1688;3,5;2015;Chuao
Trinitario;Venezuela;1-1-2015 00:00:00;1;Venezuela;Cacao de Origen;1;1692;3,25;2015;Rio Caribe
;Venezuela;1-1-2014 00:00:00;1;Venezuela;Cacao de Origen;1;1391;2,5;2014;"Agua Fria; Sucre region"
;Venezuela;1-1-2014 00:00:00;1;Venezuela;Cacao de Origen;1;1391;3,25;2014;"Macuare; Miranda; Chloe formula"
Trinitario;Venezuela;1-1-2014 00:00:00;1;Venezuela;Cacao de Origen;1;1391;3,5;2014;Chuao, Aragua region
Trinitario;Venezuela;1-1-2014 00:00:00;1;Venezuela;Cacao de Origen;1;1395;3,75;2014;Chuao, Aragua region
;Venezuela;1-1-2015 00:00:00;1;Venezuela;Cacao de Origin;1;1668;3,25;2015;Hacienda la Trinidad
;Colombia;1-1-2016 00:00:00;1;Colombia;Cacao Hunters;1;1816;3,75;2016;Macondo
;Colombia;1-1-2016 00:00:00;1;Colombia;Cacao Hunters;1;1816;3,75;2016;Perla Negra
;Colombia;1-1-2015 00:00:00;1;Colombia;Cacao Hunters;1;1662;3,75;2015;Arhuacos
;Colombia;1-1-2014 00:00:00;1;Colombia;Cacao Hunters;1;1430;3,5;2014;Sierra Nevada
;Colombia;1-1-2014 00:00:00;1;Colombia;Cacao Hunters;1;1430;3,5;2014;Tumaco
;Colombia;1-1-2014 00:00:00;1;Colombia;Cacao Hunters;1;1434;2,75;2014;Boyaca, Aprocampa Coop, Pauna
;Colombia;1-1-2014 00:00:00;1;Colombia;Cacao Hunters;1;1434;3,25;2014;Arauca
Trinitario;Honduras;1-1-2016 00:00:00;1;U.S.A.;Cacao Market;1;1860;3,5;2016;Jutiapa, lot 050916D
Criollo;Dominican Republic;1-1-2012 00:00:00;1;U.S.A.;Cacao Prieto;1;991;3,75;2012;Criollo, Dominican Republic
;Dominican Republic;1-1-2011 00:00:00;1;U.S.A.;Cacao Prieto;1;641;3;2011;Dominican Republicm, rustic
;Dominican Republic;1-1-2011 00:00:00;1;U.S.A.;Cacao Prieto;1;641;3,75;2011;Dominican Republic
;Dominican Republic;1-1-2011 00:00:00;1;U.S.A.;Cacao Prieto;1;647;3,25;2011;Dominican Republic, rustic
Criollo;Congo;1-1-2016 00:00:00;1;Spain;Cacao Sampaka;1;1908;3,5;2016;Mahali, Kasai
Trinitario;Madagascar;1-1-2010 00:00:00;1;Spain;Cacao Sampaka;1;508;3,5;2010;Madagascar
;Ecuador;1-1-2010 00:00:00;1;Spain;Cacao Sampaka;1;523;3,75;2010;Ecuador
;Papua New Guinea;1-1-2010 00:00:00;1;Spain;Cacao Sampaka;1;523;4;2010;Papua
Trinitario;Grenada;1-1-2010 00:00:00;1;Spain;Cacao Sampaka;1;537;3,25;2010;Grenada
;Venezuela;1-1-2010 00:00:00;1;Spain;Cacao Sampaka;1;537;3,5;2010;Venezuela
;Venezuela;1-1-2010 00:00:00;1;Spain;Cacao Sampaka;1;537;3,5;2010;Venezuela
Criollo;Mexico;1-1-2009 00:00:00;1;Spain;Cacao Sampaka;1;336;4;2009;Porcelana, Tabasco, La Joya
Criollo;Mexico;1-1-2009 00:00:00;1;Spain;Cacao Sampaka;1;346;4;2009;Xoconusco, Chiapas
Trinitario;Madagascar;1-1-2015 00:00:00;1;Japan;Cacao Store;1;1684;3;2015;Madagascar
;Peru;1-1-2015 00:00:00;1;Japan;Cacao Store;1;1684;3,25;2015;Peru
Trinitario;Vietnam;1-1-2015 00:00:00;1;Japan;Cacao Store;1;1684;3,5;2015;Vietnam
;Peru;1-1-2013 00:00:00;1;Peru;Cacaosuyo (Theobroma Inversiones);1;1173;3,25;2013;Piura
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Cacaoyere (Ecuatoriana);1;237;3,5;2008;Amazonia
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Cacaoyere (Ecuatoriana);1;237;3,5;2008;Esmeraldas
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Cacaoyere (Ecuatoriana);1;245;2,5;2008;Bolivar
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Cacaoyere (Ecuatoriana);1;259;1,5;2008;Pichincha
Trinitario;Grenada;1-1-2008 00:00:00;1;Belgium;Callebaut;1;296;2,75;2008;Grenade
;Ecuador;1-1-2007 00:00:00;1;Belgium;Callebaut;1;141;1;2007;Baking
;Cuba;1-1-2014 00:00:00;1;Italy;C-Amaro;1;1442;2,5;2014;Cuba
;Dominican Republic;1-1-2014 00:00:00;1;Italy;C-Amaro;1;1442;3;2014;Dominican Republic
Blend;;1-1-2014 00:00:00;1;Italy;C-Amaro;1;1442;3,5;2014;Lago di Como, Blu
;Ecuador;1-1-2013 00:00:00;1;Italy;C-Amaro;1;1185;3,5;2013;Ecuador
;Venezuela;1-1-2012 00:00:00;1;Italy;C-Amaro;1;809;3;2012;Venezuela
Forastero;Sao Tome;1-1-2011 00:00:00;1;Italy;C-Amaro;1;749;2,25;2011;Sao Tome
Trinitario;Trinidad;1-1-2011 00:00:00;1;Italy;C-Amaro;1;765;2,5;2011;Trinidad
Criollo;Venezuela;1-1-2016 00:00:00;1;U.S.A.;Cao;1;1804;2,5;2016;Porcelana
;Tanzania;1-1-2016 00:00:00;1;U.S.A.;Cao;1;1804;2,75;2016;Tanzania
Criollo;Venezuela;1-1-2016 00:00:00;1;U.S.A.;Cao;1;1804;3;2016;Porcelana, Batch 5163
;Bolivia;1-1-2016 00:00:00;1;U.S.A.;Cao;1;1808;3;2016;Bolivia
Trinitario;Brazil;1-1-2016 00:00:00;1;U.S.A.;Cao;1;1808;3,25;2016;Brazil
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Caoni (Tulicorp);1;237;2;2008;Esmeraldas
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Caoni (Tulicorp);1;237;2,5;2008;Manabi
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Caoni (Tulicorp);1;245;2,75;2008;Los Rios
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Caoni (Tulicorp);1;266;3;2008;Manabi
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Caoni (Tulicorp);1;269;3,25;2008;Los Rios
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Caoni (Tulicorp);1;269;3,5;2008;Esmeraldas
Trinitario;Papua New Guinea;1-1-2014 00:00:00;1;New Zealand;Captain Pembleton;1;1263;3,5;2014;Saidor Estate, Madang P.
;Papua New Guinea;1-1-2014 00:00:00;1;New Zealand;Captain Pembleton;1;1263;3,75;2014;Kulili Estate
;Guatemala;1-1-2015 00:00:00;1;Costa Rica;Caribeans;1;1582;3,5;2015;Antigua, Special Reserve
;Costa Rica;1-1-2015 00:00:00;1;Costa Rica;Caribeans;1;1586;3,25;2015;Talamanca, Raul-Kekoldo community
;Costa Rica;1-1-2015 00:00:00;1;Costa Rica;Caribeans;1;1586;3,5;2015;Anselmo Paraiso Estate
Forastero;Costa Rica;1-1-2012 00:00:00;1;Costa Rica;Caribeans;1;841;3;2012;Costa Rica
Forastero;Costa Rica;1-1-2012 00:00:00;1;Costa Rica;Caribeans;1;845;2,75;2012;Costa Rica
Trinitario;Colombia;1-1-2016 00:00:00;1;Colombia;Carlotta Chocolat;1;1884;3;2016;Arauca
Trinitario;Colombia;1-1-2016 00:00:00;1;Colombia;Carlotta Chocolat;1;1888;3,25;2016;Tumaco
Trinitario;Colombia;1-1-2016 00:00:00;1;Colombia;Carlotta Chocolat;1;1888;3,25;2016;Cordoba
Trinitario;Colombia;1-1-2016 00:00:00;1;Colombia;Carlotta Chocolat;1;1888;3,5;2016;Huila
CCN51;Colombia;1-1-2016 00:00:00;1;Colombia;Carlotta Chocolat;1;1888;3,5;2016;Cesar
Trinitario;Belize;1-1-2016 00:00:00;1;U.S.A.;Castronovo;1;1724;4;2016;Maya Mtn, Batch 454, Heirloom
Trinitario;Honduras;1-1-2015 00:00:00;1;U.S.A.;Castronovo;1;1570;3,5;2015;the lost city, gracias a dias, batch 362
Criollo, Trinitario;Domincan Republic;1-1-2015 00:00:00;1;U.S.A.;Castronovo;1;1570;3,75;2015;Duarte, Batch 360
;Venezuela;1-1-2015 00:00:00;1;U.S.A.;Castronovo;1;1574;3,5;2015;Piaroa, Amazonas, Batch 350
Criollo, Trinitario;Colombia;1-1-2014 00:00:00;1;U.S.A.;Castronovo;1;1347;3,5;2014;Sierra Nevada
Criollo, Trinitario;Colombia;1-1-2014 00:00:00;1;U.S.A.;Castronovo;1;1371;3,5;2014;Arauca
Trinitario;Dominican Republic;1-1-2014 00:00:00;1;U.S.A.;Castronovo;1;1407;2,75;2014;Elvesia P.
Trinitario;Bolivia;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1101;3;2013;Bolivia
Trinitario;Dominican Republic;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1101;3,5;2013;Conacado
Criollo;Peru;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1105;2,5;2013;San Martin
;Venezuela;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1105;3,25;2013;Guaniamo, Amazonas
Trinitario;Nicaragua;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1109;3,25;2013;Nicaragua
Criollo;Peru;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1153;2,75;2013;Tumbes
;Venezuela;1-1-2013 00:00:00;1;U.S.A.;Castronovo;1;1153;3;2013;Guaniamo
;Ecuador;1-1-2014 00:00:00;1;U.S.A.;Cello;1;1247;2,5;2014;Ecuador
;Peru;1-1-2014 00:00:00;1;U.S.A.;Cello;1;1247;2,75;2014;Peru
;Venezuela;1-1-2014 00:00:00;1;U.S.A.;Cello;1;1251;2,75;2014;Venezuela
;Bolivia;1-1-2014 00:00:00;1;U.S.A.;Cello;1;1251;3;2014;Bolivia
;Ecuador;1-1-2009 00:00:00;1;France;Cemoi;1;404;2,75;2009;Equateur
Forastero;Uganda;1-1-2014 00:00:00;1;Canada;Chaleur B;1;1426;2,75;2014;Uganda
;Belize;1-1-2016 00:00:00;1;U.S.A.;Charm School;1;1900;3,25;2016;Maya Mtn
Forastero (Arriba);Ecuador;1-1-2010 00:00:00;1;Ecuador;Chchukululu (Tulicorp);1;486;2,75;2010;Arriba
Forastero (Arriba);Ecuador;1-1-2008 00:00:00;1;Ecuador;Chchukululu (Tulicorp);1;252;3;2008;Los Rios
;Costa Rica;1-1-2014 00:00:00;1;U.S.A.;Chequessett;1;1235;3,5;2014;la Amistad
;;1-1-2011 00:00:00;1;France;Chloe Chocolat;1;672;3,5;2011;Blend No. 1
;Ecuador;1-1-2015 00:00:00;1;U.K.;Chocablog;1;1454;3,25;2015;Ecuador
Trinitario;Belize;1-1-2014 00:00:00;1;Germany;Choco Del Sol;1;1407;3;2014;Maya Mountain w/ nibs
Trinitario;Belize;1-1-2014 00:00:00;1;Germany;Choco Del Sol;1;1407;3,25;2014;Maya Mountain
Trinitario;Vietnam;1-1-2015 00:00:00;1;South Korea;Choco Dong;1;1696;2,75;2015;Mekong Delta, early 2014 Harvest
Trinitario;Malaysia;1-1-2015 00:00:00;1;South Korea;Choco Dong;1;1696;3,5;2015;Tawau, Oct. 2015 Harvest
Criollo;Peru;1-1-2015 00:00:00;1;U.K.;Chocolarder;1;1482;2,5;2015;Peru
Criollo;Peru;1-1-2015 00:00:00;1;U.K.;Chocolarder;1;1482;2,75;2015;Peru + nibs
;Dominican Republic;1-1-2015 00:00:00;1;U.K.;Chocolarder;1;1514;2,5;2015;Dominican Republic
Trinitario;Madagascar;1-1-2011 00:00:00;1;U.S.A.;Chocola'te;1;647;3,75;2011;Madagascar
;Venezuela;1-1-2011 00:00:00;1;U.S.A.;Chocola'te;1;647;3,75;2011;Venezuela
;Peru;1-1-2016 00:00:00;1;U.S.A.;Chocolate Alchemist-Philly;1;1772;2,5;2016;"Tumbes, ""Zarumilla"""
;;1-1-2016 00:00:00;1;U.S.A.;Chocolate Alchemist-Philly;1;1772;2,5;2016;Philly Blend, 5 plantations
;Bolivia;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1760;2,5;2016;Wild Bolivian
;Uganda;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1760;2,75;2016;Uganda
;Dominican Republic;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1764;3;2016;Dominican Republic
;Dominican Republic;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1764;3;2016;Dominican Republic
Criollo (Ocumare);Venezuela;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1764;3;2016;Ocumare
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1764;3,25;2016;Ecuador
;Nicaragua;1-1-2016 00:00:00;1;U.S.A.;Chocolate Con Amor;1;1768;2,75;2016;Nicaragua
;Peru;1-1-2014 00:00:00;1;U.S.A.;Chocolate Conspiracy;1;1259;2,75;2014;Peru
Trinitario;Dominican Republic;1-1-2015 00:00:00;1;Amsterdam;Chocolate Makers;1;1530;3,25;2015;Tres Hombres
Forastero;Congo;1-1-2015 00:00:00;1;Amsterdam;Chocolate Makers;1;1530;3,5;2015;Congo, Gorilla bar
Criollo;Peru;1-1-2015 00:00:00;1;Amsterdam;Chocolate Makers;1;1530;3,75;2015;Peru, Awagum bar
Forastero (Nacional);Peru;1-1-2015 00:00:00;1;Scotland;Chocolate Tree, The;1;1582;3,75;2015;Maranon
Trinitario;Venezuela;1-1-2015 00:00:00;1;Scotland;Chocolate Tree, The;1;1582;3,75;2015;Carenero Superior
Forastero (Nacional);Peru;1-1-2013 00:00:00;1;Scotland;Chocolate Tree, The;1;1121;3,75;2013;Peru
Forastero (Arriba);Ecuador;1-1-2012 00:00:00;1;Scotland;Chocolate Tree, The;1;919;2,5;2012;Ecuador
Criollo;Peru;1-1-2012 00:00:00;1;Scotland;Chocolate Tree, The;1;919;2,75;2012;Peru
Criollo;Madagascar;1-1-2012 00:00:00;1;Scotland;Chocolate Tree, The;1;919;3,25;2012;Madagascar
Criollo;Mexico;1-1-2014 00:00:00;1;Canada;Chocolats Privilege;1;1219;2,5;2014;Xoconusco
Criollo;Venezuela;1-1-2015 00:00:00;1;Japan;ChocoReko;1;1454;3;2015;Patanemo
;Mexico;1-1-2011 00:00:00;1;Canada;Chocosol;1;682;3,25;2011;Chiapas, Lacandon Jungle, Oaxacom Mtn
Criollo;Mexico;1-1-2010 00:00:00;1;Spain;Chocovic;1;478;3,25;2010;Xoconusco
Trinitario;Madagascar;1-1-2010 00:00:00;1;Spain;Chocovic;1;478;3,5;2010;Sambirano
;;1-1-2009 00:00:00;1;Spain;Chocovic;1;439;3,25;2009;Kendari
;;1-1-2009 00:00:00;1;Spain;Chocovic;1;439;3,25;2009;Tarakan
Criollo;Venezuela;1-1-2008 00:00:00;1;Spain;Chocovic;1;209;3,5;2008;Ocumare
Forastero (Arriba);Ecuador;1-1-2007 00:00:00;1;Spain;Chocovic;1;117;2,5;2007;Bolivar, Guaranda
Trinitario;Grenada;1-1-2007 00:00:00;1;Spain;Chocovic;1;117;2,5;2007;Guyave
Blend;;1-1-2007 00:00:00;1;Spain;Chocovic;1;117;3;2007;Maragda
Trinitario;Mexico;1-1-2015 00:00:00;1;U.S.A.;Chocovivo;1;1522;2,5;2015;Tabasco
Trinitario;Mexico;1-1-2015 00:00:00;1;U.S.A.;Chocovivo;1;1522;2,5;2015;Tabasco
Criollo;Venezuela;1-1-2009 00:00:00;1;Canada;Choklat;1;377;2,5;2009;Ocumare
Criollo;Mexico;1-1-2009 00:00:00;1;Canada;Choklat;1;377;2,75;2009;Porcelana, Tabasco
;Brazil;1-1-2009 00:00:00;1;Canada;Choklat;1;377;3;2009;Brazilian
;Brazil;1-1-2009 00:00:00;1;Canada;Choklat;1;377;3;2009;Brazilian
Criollo;Venezuela;1-1-2009 00:00:00;1;Canada;Choklat;1;377;3;2009;Ocumare
;Martinique;1-1-2013 00:00:00;0;Martinique;Chokolat Elot (Girard);1;1149;2,75;2013;Guadeloupe
;Mexico;1-1-2016 00:00:00;1;Canada;Choocsol;1;1832;3,25;2016;Chiapas, Lacandon Jungle, Oaxacom Mtn
Forastero (Nacional);Peru;1-1-2011 00:00:00;1;Canada;Christopher Morel (Felchlin);1;666;3,75;2011;Maranon Canyon, Fortunato No. 4
Criollo;Venezuela;1-1-2009 00:00:00;1;U.S.A.;Chuao Chocolatier;1;445;3;2009;Choroni
Trinitario;Venezuela;1-1-2010 00:00:00;1;U.S.A.;Chuao Chocolatier (Pralus);1;486;2,75;2010;Chuao
Forastero;Sao Tome & Principe;1-1-2010 00:00:00;1;Sao Tome;Claudio Corallo;1;470;3,75;2010;Terreiro Velho P.
Forastero;Sao Tome & Principe;1-1-2008 00:00:00;1;Sao Tome;Claudio Corallo;1;209;3;2008;Terreiro Velho P. w/ sugar crystals
Forastero;Sao Tome & Principe;1-1-2008 00:00:00;1;Sao Tome;Claudio Corallo;1;227;4;2008;Terreiro Velho P.
Forastero;Sao Tome & Principe;1-1-2008 00:00:00;1;Sao Tome;Claudio Corallo;1;252;1;2008;Principe
;Ecuador;1-1-2015 00:00:00;1;U.S.A.;Cloudforest;1;1486;3,5;2015;Camino Verde P., Balao, Guayas, 2014
Trinitario;Madagascar;1-1-2015 00:00:00;1;U.S.A.;Coleman & Davis;1;1646;3;2015;Sambirano
;Venezuela;1-1-2010 00:00:00;1;Argentina;Compania de Chocolate (Salgado);1;579;3,25;2010;Sur del Lago
Trinitario;Venezuela;1-1-2008 00:00:00;1;Argentina;Compania de Chocolate (Salgado);1;292;2,75;2008;Carenero Superior
;Bolivia;1-1-2008 00:00:00;1;Argentina;Compania de Chocolate (Salgado);1;292;3,25;2008;Moxos
Criollo;Venezuela;1-1-2008 00:00:00;1;Argentina;Compania de Chocolate (Salgado);1;292;3,75;2008;Ocumare
Forastero (Nacional);Ecuador;1-1-2008 00:00:00;1;Argentina;Compania de Chocolate (Salgado);1;296;2,75;2008;Esmeraldas
;Ecuador;1-1-2015 00:00:00;1;U.S.A.;Condor;1;1630;3,5;2015;Camino Verde
Trinitario;Vietnam;1-1-2016 00:00:00;1;U.S.A.;Confluence;1;1916;2,75;2016;Tien Giang, 2015, batch 10-2-16
Forastero (Nacional);Ecuador;1-1-2013 00:00:00;1;Germany;Coppeneur;1;1169;3,25;2013;Ecuador, Puristique
Forastero;Ghana;1-1-2012 00:00:00;1;Germany;Coppeneur;1;813;3,5;2012;Ghana Puristique
;Ecuador;1-1-2012 00:00:00;1;Germany;Coppeneur;1;817;1,5;2012;Ecuador Puristique
Forastero;Sao Tome & Principe;1-1-2012 00:00:00;1;Germany;Coppeneur;1;821;3,75;2012;Uba Budo
Trinitario;Madagascar;1-1-2012 00:00:00;1;Germany;Coppeneur;1;959;3,5;2012;Madagascar
Trinitario;Grenada;1-1-2010 00:00:00;1;Germany;Coppeneur;1;470;3,25;2010;Grenada
Trinitario;Venezuela;1-1-2010 00:00:00;1;Germany;Coppeneur;1;478;3;2010;Chuao
Nacional;Ecuador;1-1-2010 00:00:00;1;Germany;Coppeneur;1;558;2,5;2010;Los Rios, H. Iara
Trinitario;Trinidad;1-1-2010 00:00:00;1;Germany;Coppeneur;1;558;3;2010;Trinidad
Trinitario;Jamaica;1-1-2010 00:00:00;1;Germany;Coppeneur;1;558;3,25;2010;Jamaica
Criollo (Ocumare 61);Venezuela;1-1-2010 00:00:00;1;Germany;Coppeneur;1;558;3,25;2010;Ocumare 61
Criollo;Peru;1-1-2009 00:00:00;1;Germany;Coppeneur;1;341;3;2009;Porcelana, Apotequil
Criollo;Peru;1-1-2009 00:00:00;1;Germany;Coppeneur;1;445;3,25;2009;Porcelana, Apotequil
Criollo, Trinitario;Venezuela;1-1-2009 00:00:00;1;Germany;Coppeneur;1;451;3,5;2009;Chuao 100hr
Criollo, Trinitario;Venezuela;1-1-2009 00:00:00;1;Germany;Coppeneur;1;451;3,75;2009;Chuao 70hr
Criollo;Mexico;1-1-2008 00:00:00;1;Germany;Coppeneur;1;220;3;2008;Porcelana, Tabasco, Mexico
Criollo (Porcelana);Venezuela;1-1-2008 00:00:00;1;Germany;Coppeneur;1;220;3;2008;Porcelana, Venezuela
Trinitario;Madagascar;1-1-2007 00:00:00;1;Germany;Coppeneur;1;196;3;2007;Sambirano, Menava P.
;;1-1-2006 00:00:00;1;Belgium;Cote d' Or (Kraft);1;48;1;2006;Sensations Intense
Forastero;Papua New Guinea;1-1-2014 00:00:00;1;Australia;Cravve;1;1283;2,5;2014;New Ireland
Trinitario;Vanuatu;1-1-2014 00:00:00;1;Australia;Cravve;1;1335;2,75;2014;Vanuatu, batch 2410
Forastero;Tanzania;1-1-2012 00:00:00;1;Australia;Cravve;1;971;3,25;2012;Tanzania, batch a1
Trinitario;Brazil;1-1-2012 00:00:00;1;Australia;Cravve;1;975;3,25;2012;Bahia, batch a1213
Trinitario;Fiji;1-1-2012 00:00:00;1;Australia;Cravve;1;975;3,25;2012;Namau Village, N. Taileva P., batch a2812
Trinitario;Vanuatu;1-1-2012 00:00:00;1;Australia;Cravve;1;975;3,25;2012;Vanuatu
Forastero;Papua New Guinea;1-1-2012 00:00:00;1;Australia;Cravve;1;975;3,5;2012;Djual Island
Forastero (Nacional);Ecuador;1-1-2016 00:00:00;1;U.S.A.;Creo;1;1736;3,25;2016;"""heirloom"", Arriba Nacional"
Forastero (Nacional);Ecuador;1-1-2016 00:00:00;1;U.S.A.;Creo;1;1736;3,75;2016;"""heirloom"", Arriba Nacional"
;Australia;1-1-2015 00:00:00;1;Australia;Daintree;1;1654;2,75;2015;Goodman Estate
;Australia;1-1-2011 00:00:00;1;Australia;Daintree;1;785;3,25;2011;Daintree Estates, N. Queensland
;Dominican Republic;1-1-2017 00:00:00;1;U.S.A.;Dalloway;1;1928;2,75;2017;Dominican Republic, batch 7
Trinitario;Trinidad;1-1-2015 00:00:00;1;U.K.;Damson;1;1610;3;2015;Robson Estate
;Ecuador;1-1-2015 00:00:00;1;U.K.;Damson;1;1610;3,5;2015;Los Rios
;Grenada;1-1-2015 00:00:00;1;U.K.;Damson;1;1666;2,25;2015;Crayfish Bay aka Non Pariel Estate
;Nicaragua;1-1-2015 00:00:00;1;U.K.;Damson;1;1666;2,75;2015;O'Payo
;;1-1-2016 00:00:00;1;U.S.A.;Dandelion;1;1816;3,75;2016;Zorzal Reserva, 2015 H., Kerchner
